Age group,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,75.43,75.76,76.05,76.26,76.4,76.56,76.74,76.97,77.2,77.45,77.69,77.78,77.88,77.93,78.11,78.29,78.51,78.72,78.97,79.24,79.47,79.65,79.85,80.05,80.32,80.51,80.71,80.88,81.15,81.4,81.59,81.73,81.82,81.87,81.93,81.94,81.94,82.03,81.97
1,75.17,75.46,75.71,75.9,76.02,76.15,76.32,76.53,76.75,76.98,77.2,77.27,77.37,77.42,77.58,77.74,77.94,78.14,78.39,78.66,78.89,79.08,79.27,79.47,79.75,79.92,80.12,80.29,80.55,80.8,80.99,81.13,81.21,81.25,81.3,81.31,81.32,81.41,81.34
2,74.22,74.5,74.76,74.94,75.07,75.2,75.36,75.57,75.79,76.02,76.23,76.3,76.4,76.45,76.61,76.77,76.97,77.17,77.42,77.68,77.92,78.1,78.3,78.5,78.77,78.95,79.14,79.31,79.57,79.82,80.01,80.15,80.24,80.28,80.32,80.33,80.34,80.43,80.36
3,73.26,73.54,73.79,73.97,74.1,74.24,74.4,74.6,74.82,75.05,75.26,75.33,75.42,75.47,75.63,75.79,75.99,76.19,76.44,76.7,76.94,77.12,77.32,77.51,77.78,77.96,78.15,78.33,78.59,78.84,79.03,79.16,79.25,79.29,79.34,79.34,79.35,79.44,79.37
4,72.3,72.57,72.82,73,73.13,73.26,73.42,73.63,73.84,74.07,74.28,74.35,74.44,74.49,74.65,74.81,75.01,75.21,75.45,75.72,75.95,76.14,76.33,76.53,76.8,76.98,77.17,77.34,77.6,77.85,78.04,78.17,78.26,78.3,78.35,78.36,78.36,78.45,78.38
5,71.32,71.6,71.85,72.03,72.15,72.29,72.45,72.65,72.86,73.09,73.3,73.37,73.46,73.51,73.66,73.82,74.02,74.22,74.47,74.73,74.96,75.15,75.34,75.54,75.81,75.99,76.18,76.35,76.61,76.86,77.05,77.18,77.27,77.31,77.36,77.36,77.37,77.46,77.39
6,70.35,70.62,70.87,71.05,71.17,71.3,71.46,71.67,71.88,72.11,72.31,72.38,72.48,72.52,72.68,72.84,73.03,73.23,73.48,73.74,73.97,74.16,74.35,74.55,74.82,75,75.19,75.36,75.62,75.87,76.06,76.19,76.28,76.32,76.36,76.37,76.38,76.47,76.4
7,69.37,69.64,69.89,70.07,70.19,70.32,70.48,70.69,70.9,71.12,71.33,71.4,71.49,71.54,71.69,71.85,72.04,72.24,72.49,72.75,72.98,73.17,73.36,73.56,73.83,74,74.2,74.37,74.63,74.87,75.06,75.2,75.28,75.33,75.37,75.38,75.38,75.47,75.4
8,68.39,68.66,68.91,69.08,69.21,69.33,69.49,69.7,69.91,70.13,70.34,70.41,70.5,70.55,70.7,70.86,71.05,71.25,71.49,71.76,71.99,72.17,72.37,72.56,72.83,73.01,73.2,73.37,73.63,73.88,74.07,74.2,74.29,74.33,74.38,74.38,74.39,74.48,74.41
9,67.41,67.68,67.92,68.1,68.22,68.35,68.51,68.71,68.92,69.15,69.35,69.42,69.51,69.56,69.71,69.87,70.06,70.26,70.5,70.77,71,71.18,71.37,71.57,71.84,72.02,72.21,72.38,72.64,72.88,73.07,73.21,73.3,73.34,73.38,73.39,73.4,73.49,73.41
